latitude,longitude
29.401325,-81.177222
29.4013248199866,-81.17722158566458
29.401324716401867,-81.17722134035056
29.40132452172796,-81.17722100928849
29.401324863024886,-81.1772213454443
29.401324406999624,-81.17722042006461
29.40132398378982,-81.17722031331265
29.4013241858344,-81.17721867055104
29.40132221536635,-81.17721654842121
29.401322950089437,-81.17721624342073
29.401322513463292,-81.17721277455904
29.40132391447132,-81.17721484468942
29.401318617290244,-81.17720749385765
29.401322142894763,-81.17721141353583
29.40131834443596,-81.17720474804389
29.40132180177301,-81.17721526304105
29.40131692004928,-81.17720849676734
29.401315402179417,-81.1772110107696
29.40131256002215,-81.17722146064115
29.401314148769085,-81.17722224273624
29.401307058847145,-81.17722425609308
29.401312281849837,-81.17722845827784
29.40130452342412,-81.17722968306931
29.401319140365757,-81.17723061535236
29.401319084054865,-81.17723006650203
29.40133861228379,-81.17721043210956
29.401347090758613,-81.17720673969563
29.401353193930618,-81.17717559360882
29.401391841125008,-81.17716224776649
29.401375045809232,-81.1771395731236
29.401417844927032,-81.17707712696233
29.401367277794,-81.17713987503072
29.401387459502377,-81.1770986851691
29.401335784782535,-81.17712249689114
29.401326113892985,-81.1770974549797
29.401301990664603,-81.17713763418276
29.401303967780187,-81.17712715747628
29.401329248438405,-81.17705446100665
29.401240264937588,-81.17730619362001
29.40130683699471,-81.17717577794235
29.40127220062086,-81.17717188751193
29.401306897231244,-81.17715918171743
29.40130720953055,-81.17715793625712
29.40134447311728,-81.17714158667121
29.40134062536792,-81.17714004393352
29.40134488364737,-81.17710732012307
29.401341218256004,-81.1770975139392
29.401361402789583,-81.17705984334049
29.401376429053073,-81.17705753799075
29.401379435498733,-81.1770465094643
29.401368972533156,-81.17705546104465
29.40135503227446,-81.177052333515
29.401333510998327,-81.17705912583483
29.401337721343673,-81.17707896934898
29.401343038566164,-81.17707584748534
29.401335077862303,-81.17711106773291
29.401347532909394,-81.17712049049436
29.40131938522854,-81.17710970657565
29.401302506921905,-81.17714636099416
29.40132395297311,-81.17713475183824
29.401313670447635,-81.17713625815158
